"Timestamp","Application"
2019-05-26 15:51:17,"MendeleyDesktop"
2019-05-26 15:51:19,"WINWORD"
2019-05-26 15:51:23,"MendeleyDesktop"
2019-05-26 15:51:27,"WINWORD"
2019-05-26 15:51:32,"MendeleyDesktop"
2019-05-26 15:51:37,"WINWORD"
2019-05-26 15:52:24,"MendeleyDesktop"
2019-05-26 15:53:19,"WINWORD"
2019-05-26 15:53:34,"MendeleyDesktop"
2019-05-26 15:53:42,"WINWORD"
2019-05-26 15:53:50,"MendeleyDesktop"
2019-05-26 15:53:57,"WINWORD"
2019-05-26 15:54:02,"MendeleyDesktop"
2019-05-26 15:54:11,"WINWORD"
2019-05-26 15:54:12,"MendeleyDesktop"
2019-05-26 15:54:16,"WINWORD"
2019-05-26 15:54:18,"MendeleyDesktop"
2019-05-26 15:55:23,"WINWORD"
2019-05-26 15:55:37,"MendeleyDesktop"
2019-05-26 15:57:01,"WINWORD"
2019-05-26 15:57:11,"MendeleyDesktop"
2019-05-26 15:57:24,"WINWORD"
2019-05-26 15:57:28,"MendeleyDesktop"
2019-05-26 15:58:04,"WINWORD"
2019-05-26 15:58:19,"MendeleyDesktop"
2019-05-26 15:58:20,"WINWORD"
2019-05-26 15:58:34,"explorer"
2019-05-26 15:58:40,"WINWORD"
2019-05-26 15:58:56,"MendeleyDesktop"
2019-05-26 15:59:12,"WINWORD"
2019-05-26 15:59:13,"MendeleyDesktop"
2019-05-26 15:59:26,"WINWORD"
2019-05-26 15:59:30,"MendeleyDesktop"
2019-05-26 15:59:45,"WINWORD"
2019-05-26 16:00:46,"MendeleyDesktop"
2019-05-26 16:00:48,"WINWORD"
2019-05-26 16:00:49,"explorer"
2019-05-26 16:00:50,"WINWORD"
2019-05-26 16:02:24,"explorer"
2019-05-26 16:02:25,"WINWORD"
2019-05-26 16:06:49,"explorer"
2019-05-26 16:06:50,"WINWORD"
2019-05-26 16:08:33,"LockApp"
2019-05-26 16:25:51,"Idle"
2019-05-26 16:26:13,"WINWORD"
2019-05-26 16:55:27,"explorer"
2019-05-26 16:55:28,"WINWORD"
2019-05-26 16:55:41,"explorer"
2019-05-26 16:55:54,"chrome"
2019-05-26 17:02:59,"explorer"
2019-05-26 17:03:00,"chrome"
2019-05-26 17:03:02,"explorer"
2019-05-26 17:03:05,"Idle"
2019-05-26 17:03:06,"POWERPNT"
2019-05-26 17:03:08,"explorer"
2019-05-26 17:03:19,"WINWORD"
2019-05-26 17:05:51,"explorer"
2019-05-26 17:05:54,"WINWORD"
2019-05-26 17:06:05,"chrome"
2019-05-26 17:06:21,"explorer"
2019-05-26 17:06:36,"POWERPNT"
2019-05-26 17:06:54,"explorer"
2019-05-26 17:06:58,"WINWORD"
2019-05-26 17:07:01,"POWERPNT"
2019-05-26 17:07:02,"WINWORD"
2019-05-26 17:07:03,"POWERPNT"
2019-05-26 17:07:04,"WINWORD"
2019-05-26 17:07:05,"POWERPNT"
2019-05-26 17:07:07,"WINWORD"
2019-05-26 17:07:08,"POWERPNT"
2019-05-26 17:07:31,"explorer"
2019-05-26 17:07:35,"chrome"
2019-05-26 17:07:58,"WINWORD"
2019-05-26 17:13:44,"Idle"
2019-05-26 17:13:45,"LockApp"
2019-05-26 17:31:47,"Idle"
2019-05-26 17:32:10,"WINWORD"
2019-05-26 17:33:41,"explorer"
2019-05-26 17:33:49,"WINWORD"
2019-05-26 17:33:52,"explorer"
2019-05-26 17:33:54,"WINWORD"
2019-05-26 17:34:13,"explorer"
2019-05-26 17:34:17,"WINWORD"
2019-05-26 17:36:11,"chrome"
2019-05-26 17:36:48,"ShellExperienceHost"
2019-05-26 17:36:53,"chrome"
2019-05-26 17:37:03,"WINWORD"
2019-05-26 17:40:29,"chrome"
2019-05-26 17:40:41,"WINWORD"
2019-05-26 17:43:29,"Idle"
2019-05-26 17:43:30,"explorer"
2019-05-26 17:43:31,"WINWORD"
2019-05-26 17:49:07,"Idle"
2019-05-26 17:49:08,"explorer"
2019-05-26 17:49:13,"WINWORD"
2019-05-26 17:52:01,"Idle"
2019-05-26 17:52:02,"chrome"
2019-05-26 17:52:55,"ShellExperienceHost"
2019-05-26 17:54:57,"chrome"
2019-05-26 17:54:59,"WINWORD"
2019-05-26 17:57:35,"SearchUI"
2019-05-26 17:57:39,"ApplicationFrameHost"
2019-05-26 17:58:34,"WINWORD"
2019-05-26 17:58:55,"chrome"
2019-05-26 18:00:00,"explorer"
2019-05-26 18:00:05,"Idle"
2019-05-26 18:00:06,"explorer"
2019-05-26 18:00:20,"Idle"
2019-05-26 18:00:21,"chrome"
2019-05-26 18:00:27,"explorer"
2019-05-26 18:00:44,"chrome"
2019-05-26 18:00:56,"explorer"
2019-05-26 18:01:00,"Idle"
2019-05-26 18:01:01,"explorer"
2019-05-26 18:01:07,"chrome"
2019-05-26 18:01:13,"explorer"
2019-05-26 18:01:26,"chrome"
2019-05-26 18:01:50,"explorer"
2019-05-26 18:02:00,"WINWORD"
2019-05-26 18:02:40,"chrome"
2019-05-26 18:04:15,"explorer"
2019-05-26 18:04:19,"WINWORD"
2019-05-26 18:04:51,"explorer"
2019-05-26 18:04:55,"WINWORD"
2019-05-26 18:10:08,"chrome"
2019-05-26 18:27:53,"LockApp"
2019-05-26 18:31:51,"Idle"
2019-05-26 18:32:22,"LockApp"
2019-05-26 18:34:10,"Idle"
2019-05-26 18:35:15,"explorer"
2019-05-26 18:35:16,"chrome"
2019-05-26 18:35:23,"explorer"
2019-05-26 18:35:40,"devenv"
2019-05-29 10:44:22,"MonitorTool"
2019-05-29 10:44:28,"devenv"
2019-05-29 10:44:29,"explorer"
2019-05-29 10:45:13,"chrome"
2019-05-29 11:06:26,"Acrobat"
2019-05-29 11:07:33,"Idle"
2019-05-29 11:07:34,"chrome"
2019-05-29 11:14:52,"Acrobat"
2019-05-29 11:19:07,"chrome"
2019-05-29 11:20:21,"Acrobat"
