Time,HeartRate
2019-10-11 16:36:09,68
2019-10-11 16:36:16,67
2019-10-11 16:36:21,66
2019-10-11 16:36:22,67
2019-10-11 16:36:27,68
2019-10-11 16:36:36,67
2019-10-11 16:36:41,67
2019-10-11 16:36:42,67
2019-10-11 16:36:49,69
2019-10-11 16:36:52,73
2019-10-11 16:37:01,77
2019-10-11 16:37:03,78
2019-10-11 16:37:11,82
2019-10-11 16:37:16,82
2019-10-11 16:37:21,84
2019-10-11 16:37:22,84
2019-10-11 16:37:31,87
2019-10-11 16:37:36,86
2019-10-11 16:37:39,86
2019-10-11 16:37:43,84
2019-10-11 16:37:47,84
2019-10-11 16:37:52,84
2019-10-11 16:37:57,85
2019-10-11 16:38:02,86
2019-10-11 16:38:07,86
2019-10-11 16:38:13,87
2019-10-11 16:38:17,86
2019-10-11 16:38:25,85
2019-10-11 16:38:31,83
2019-10-11 16:38:32,83
2019-10-11 16:38:37,83
2019-10-11 16:38:42,85
2019-10-11 16:38:49,86
2019-10-11 16:38:53,85
2019-10-11 16:38:57,85
2019-10-11 16:39:06,86
2019-10-11 16:39:09,87
2019-10-11 16:39:21,86
2019-10-11 16:39:22,86
2019-10-11 16:39:27,87
2019-10-11 16:39:36,88
2019-10-11 16:39:41,85
2019-10-11 16:39:49,86
2019-10-11 16:39:52,86
2019-10-11 16:40:01,87
2019-10-11 16:40:02,87
2019-10-11 16:40:09,89
2019-10-11 16:40:12,88
2019-10-11 16:40:21,87
2019-10-11 16:40:22,87
2019-10-11 16:40:28,88
2019-10-11 16:40:33,89
2019-10-11 16:40:38,89
2019-10-11 16:40:44,90
2019-10-11 16:40:52,90
2019-10-11 16:40:58,91
2019-10-11 16:41:03,91
2019-10-11 16:41:15,93
2019-10-11 16:41:19,93
2019-10-11 16:41:22,94
2019-10-11 16:41:36,94
2019-10-11 16:41:38,94
2019-10-11 16:41:44,94
2019-10-11 16:41:47,93
2019-10-11 16:41:54,94
2019-10-11 16:42:08,94
2019-10-11 16:42:16,94
2019-10-11 16:42:21,93
2019-10-11 16:42:24,93
2019-10-11 16:42:30,93
2019-10-11 16:42:37,94
2019-10-11 16:42:39,94
2019-10-11 16:42:46,94
2019-10-11 16:42:48,93
2019-10-11 16:42:54,94
2019-10-11 16:43:00,94
2019-10-11 16:43:04,93
2019-10-11 16:43:08,95
2019-10-11 16:43:15,96
2019-10-11 16:43:19,96
2019-10-11 16:43:23,95
2019-10-11 16:43:28,95
2019-10-11 16:43:36,95
2019-10-11 16:43:38,95
2019-10-11 16:43:45,95
2019-10-11 16:43:48,95
2019-10-11 16:43:53,96
2019-10-11 16:44:01,94
2019-10-11 16:44:07,95
2019-10-11 16:44:11,96
2019-10-11 16:44:14,95
2019-10-11 16:44:22,95
2019-10-11 16:44:25,95
2019-10-11 16:44:32,96
2019-10-11 16:44:33,96
2019-10-11 16:44:41,96
2019-10-11 16:45:07,94
2019-10-11 16:45:08,95
2019-10-11 16:45:13,94
2019-10-11 16:45:19,94
2019-10-11 16:45:25,95
2019-10-11 16:45:28,95
2019-10-11 16:45:35,96
2019-10-11 16:45:40,96
2019-10-11 16:45:47,95
2019-10-11 16:45:49,96
2019-10-11 16:45:57,96
2019-10-11 16:45:58,96
2019-10-11 16:46:06,96
2019-10-11 16:46:12,95
2019-10-11 16:46:14,95
2019-10-11 16:46:21,96
2019-10-11 16:46:23,96
2019-10-11 16:46:29,96
2019-10-11 16:46:37,96
2019-10-11 16:46:39,97
2019-10-11 16:46:47,95
2019-10-11 16:46:50,95
2019-10-11 16:46:54,95
2019-10-11 16:47:11,95
2019-10-11 16:47:15,95
2019-10-11 16:47:21,96
2019-10-11 16:47:25,96
2019-10-11 16:47:32,96
2019-10-11 16:47:37,95
2019-10-11 16:47:44,96
2019-10-11 16:47:49,96
2019-10-11 16:47:55,96
2019-10-11 16:48:06,96
2019-10-11 16:48:15,95
2019-10-11 16:48:20,96
2019-10-11 16:48:25,96
2019-10-11 16:48:29,97
2019-10-11 16:48:41,96
2019-10-11 16:48:47,96
2019-10-11 16:48:53,95
2019-10-11 16:49:00,95
