Timestamp,Activity,Details
Fri May 31 12:50:13.687 2019,MouseMove,
Fri May 31 12:50:13.690 2019,MouseMove,
Fri May 31 12:50:13.702 2019,MouseMove,
Fri May 31 12:50:13.713 2019,MouseMove,
Fri May 31 12:50:13.716 2019,MouseMove,
Fri May 31 12:50:13.726 2019,MouseMove,
Fri May 31 12:50:13.731 2019,MouseMove,
Fri May 31 12:50:13.746 2019,MouseMove,
Fri May 31 12:50:13.757 2019,MouseMove,
Fri May 31 12:50:13.762 2019,MouseMove,
Fri May 31 12:50:13.772 2019,MouseMove,
Fri May 31 12:50:13.777 2019,MouseMove,
Fri May 31 12:50:13.786 2019,MouseMove,
Fri May 31 12:50:13.796 2019,MouseMove,
Fri May 31 12:50:13.802 2019,MouseMove,
Fri May 31 12:50:13.812 2019,MouseMove,
Fri May 31 12:50:14.141 2019,MouseMove,
Fri May 31 12:50:14.144 2019,MouseMove,
Fri May 31 12:50:14.154 2019,MouseMove,
Fri May 31 12:50:14.166 2019,MouseMove,
Fri May 31 12:50:14.170 2019,MouseMove,
Fri May 31 12:50:14.181 2019,MouseMove,
Fri May 31 12:50:14.187 2019,MouseMove,
Fri May 31 12:50:14.196 2019,MouseMove,
Fri May 31 12:50:14.200 2019,MouseMove,
Fri May 31 12:50:14.210 2019,MouseMove,
Fri May 31 12:50:14.220 2019,MouseMove,
Fri May 31 12:50:14.226 2019,MouseMove,
Fri May 31 12:50:14.236 2019,MouseMove,
Fri May 31 12:50:14.250 2019,MouseMove,
Fri May 31 12:50:14.282 2019,MouseMove,
Fri May 31 12:50:14.286 2019,MouseMove,
Fri May 31 12:50:14.296 2019,MouseMove,
Fri May 31 12:50:14.302 2019,MouseMove,
Fri May 31 12:50:14.312 2019,MouseMove,
Fri May 31 12:50:14.323 2019,MouseMove,
Fri May 31 12:50:14.327 2019,MouseMove,
Fri May 31 12:50:14.336 2019,MouseMove,
Fri May 31 12:50:14.342 2019,MouseMove,
Fri May 31 12:50:14.352 2019,MouseMove,
Fri May 31 12:50:14.355 2019,MouseMove,
Fri May 31 12:50:14.402 2019,MouseMove,
Fri May 31 12:50:14.408 2019,MouseMove,
Fri May 31 12:50:14.418 2019,MouseMove,
Fri May 31 12:50:14.422 2019,MouseMove,
Fri May 31 12:50:14.432 2019,MouseMove,
Fri May 31 12:50:14.438 2019,MouseMove,
Fri May 31 12:50:14.449 2019,MouseMove,
Fri May 31 12:50:14.458 2019,MouseMove,
Fri May 31 12:50:14.515 2019,MouseMove,
Fri May 31 12:50:14.524 2019,MouseMove,
Fri May 31 12:50:14.528 2019,MouseMove,
Fri May 31 12:50:14.538 2019,MouseMove,
Fri May 31 12:50:14.544 2019,MouseMove,
Fri May 31 12:50:14.555 2019,MouseMove,
Fri May 31 12:50:14.588 2019,MouseMove,
Fri May 31 12:50:14.594 2019,MouseMove,
Fri May 31 12:50:14.605 2019,MouseMove,
Fri May 31 12:50:14.609 2019,MouseMove,
Fri May 31 12:50:14.619 2019,MouseMove,
Fri May 31 12:50:14.631 2019,MouseMove,
Fri May 31 12:50:14.634 2019,MouseMove,
Fri May 31 12:50:14.645 2019,MouseMove,
Fri May 31 12:50:14.650 2019,MouseMove,
Fri May 31 12:50:14.661 2019,MouseMove,
Fri May 31 12:50:14.664 2019,MouseMove,
Fri May 31 12:50:14.675 2019,MouseMove,
Fri May 31 12:50:14.684 2019,MouseMove,
Fri May 31 12:50:14.691 2019,MouseMove,
Fri May 31 12:50:14.700 2019,MouseMove,
Fri May 31 12:50:14.704 2019,MouseMove,
Fri May 31 12:50:14.715 2019,MouseMove,
Fri May 31 12:50:14.721 2019,MouseMove,
Fri May 31 12:50:14.730 2019,MouseMove,
Fri May 31 12:50:14.740 2019,MouseMove,
Fri May 31 12:50:14.755 2019,MouseMove,
Fri May 31 12:50:14.761 2019,MouseMove,
Fri May 31 12:50:14.771 2019,MouseMove,
Fri May 31 12:50:14.777 2019,MouseMove,
Fri May 31 12:50:14.787 2019,MouseMove,
Fri May 31 12:50:14.791 2019,MouseMove,
Fri May 31 12:50:14.801 2019,MouseMove,
Fri May 31 12:50:14.811 2019,MouseMove,
Fri May 31 12:50:14.817 2019,MouseMove,
Fri May 31 12:50:14.826 2019,MouseMove,
Fri May 31 12:50:14.830 2019,MouseMove,
Fri May 31 12:50:14.841 2019,MouseMove,
Fri May 31 12:50:14.846 2019,MouseMove,
Fri May 31 12:50:14.857 2019,MouseMove,
Fri May 31 12:50:14.866 2019,MouseMove,
Fri May 31 12:50:14.873 2019,MouseMove,
Fri May 31 12:50:14.882 2019,MouseMove,
Fri May 31 12:50:14.887 2019,MouseMove,
Fri May 31 12:50:14.897 2019,MouseMove,
Fri May 31 12:50:14.906 2019,MouseMove,
Fri May 31 12:50:14.912 2019,MouseMove,
Fri May 31 12:50:14.923 2019,MouseMove,
Fri May 31 12:50:14.926 2019,MouseMove,
Fri May 31 12:50:14.936 2019,MouseMove,
Fri May 31 12:50:14.942 2019,MouseMove,
Fri May 31 12:50:14.952 2019,MouseMove,
Fri May 31 12:50:14.963 2019,MouseMove,
Fri May 31 12:50:14.967 2019,MouseMove,
Fri May 31 12:50:14.978 2019,MouseMove,
Fri May 31 12:50:14.982 2019,MouseMove,
Fri May 31 12:50:14.992 2019,MouseMove,
Fri May 31 12:50:15.128 2019,MouseMove,
Fri May 31 12:50:15.134 2019,MouseMove,
Fri May 31 12:50:15.144 2019,MouseMove,
Fri May 31 12:50:15.158 2019,MouseMove,
Fri May 31 12:50:15.175 2019,MouseMove,
Fri May 31 12:50:15.185 2019,MouseMove,
Fri May 31 12:50:15.188 2019,MouseMove,
Fri May 31 12:50:15.199 2019,MouseMove,
Fri May 31 12:50:15.221 2019,MouseMove,
Fri May 31 12:50:15.230 2019,MouseMove,
Fri May 31 12:50:15.264 2019,MouseMove,
Fri May 31 12:50:15.290 2019,MouseMove,
Fri May 31 12:50:15.390 2019,MouseMove,
Fri May 31 12:50:15.401 2019,MouseMove,
Fri May 31 12:50:15.406 2019,MouseMove,
Fri May 31 12:50:15.416 2019,MouseMove,
Fri May 31 12:50:15.427 2019,MouseMove,
Fri May 31 12:50:15.432 2019,MouseMove,
Fri May 31 12:50:15.443 2019,MouseMove,
Fri May 31 12:50:15.583 2019,MouseMove,
Fri May 31 12:50:16.476 2019,MouseMove,
